bus_id,tiempo,parada,ocupacion,pasajeros_a_bordo
0,0.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),0.0,0
0,929.2842952595291,Parada 2 (Intermedia),40.0,20
0,2207.9948809691487,Parada 3 (Intermedia),100.0,50
0,3357.785925426564,Parada 4 (SAN VICENTE),0.0,0
1,640.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),40.0,20
1,1872.4485520960386,Parada 2 (Intermedia),74.0,37
1,2920.2894650919097,Parada 3 (Intermedia),100.0,50
1,4153.475882003726,Parada 4 (SAN VICENTE),0.0,0
2,1236.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),36.0,18
2,2155.390905585819,Parada 2 (Intermedia),44.0,22
2,3368.9835010828547,Parada 3 (Intermedia),98.0,49
2,4454.7406113340185,Parada 4 (SAN VICENTE),0.0,0
3,1830.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),30.0,15
3,2827.273829203084,Parada 2 (Intermedia),52.0,26
3,3960.085971321399,Parada 3 (Intermedia),78.0,39
3,5007.784670096791,Parada 4 (SAN VICENTE),0.0,0
4,2442.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),42.0,21
4,3473.762270211215,Parada 2 (Intermedia),70.0,35
4,4485.642000217807,Parada 3 (Intermedia),100.0,50
4,5398.464837570158,Parada 4 (SAN VICENTE),0.0,0
5,3038.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),38.0,19
5,4079.148780244331,Parada 2 (Intermedia),60.0,30
5,5139.610783419303,Parada 3 (Intermedia),82.0,41
5,6432.703692023802,Parada 4 (SAN VICENTE),0.0,0
6,3624.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),24.0,12
6,4533.185816362601,Parada 2 (Intermedia),46.0,23
6,5534.798346925419,Parada 3 (Intermedia),66.0,33
6,6505.847923602621,Parada 4 (SAN VICENTE),0.0,0
7,4240.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),40.0,20
7,5449.717972441095,Parada 2 (Intermedia),60.0,30
7,6588.804934746813,Parada 3 (Intermedia),84.0,42
7,7506.857730457648,Parada 4 (SAN VICENTE),0.0,0
8,4838.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),38.0,19
8,5826.353994830801,Parada 2 (Intermedia),52.0,26
8,6708.557340178717,Parada 3 (Intermedia),60.0,30
8,7916.232466617596,Parada 4 (SAN VICENTE),0.0,0
9,5432.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),32.0,16
9,6591.764951988883,Parada 2 (Intermedia),50.0,25
9,7731.995881485554,Parada 3 (Intermedia),88.0,44
9,8814.95262356528,Parada 4 (SAN VICENTE),0.0,0
10,6030.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),30.0,15
10,6995.01771944675,Parada 2 (Intermedia),42.0,21
10,7923.89378925845,Parada 3 (Intermedia),50.0,25
10,8989.057825748321,Parada 4 (SAN VICENTE),0.0,0
11,6626.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),26.0,13
11,7480.053350298487,Parada 2 (Intermedia),44.0,22
11,8407.999893621616,Parada 3 (Intermedia),68.0,34
11,9357.778746108592,Parada 4 (SAN VICENTE),0.0,0
12,7222.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),22.0,11
12,8461.620750223581,Parada 2 (Intermedia),50.0,25
12,9508.05300506102,Parada 3 (Intermedia),90.0,45
12,10430.659475550048,Parada 4 (SAN VICENTE),0.0,0
13,7846.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),46.0,23
13,8821.058743750362,Parada 2 (Intermedia),72.0,36
13,9962.98511082955,Parada 3 (Intermedia),90.0,45
13,10827.822310310887,Parada 4 (SAN VICENTE),0.0,0
14,8434.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),34.0,17
14,9591.341680967951,Parada 2 (Intermedia),57.99999999999999,29
14,10760.098176800448,Parada 3 (Intermedia),100.0,50
