bus_id,tiempo,parada,ocupacion,pasajeros_a_bordo
0,0.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),0.0,0
0,937.2842952595291,Parada 2 (Intermedia),48.0,24
0,2168.478092730463,Parada 3 (Intermedia),88.0,44
0,3177.395856871982,Parada 4 (SAN VICENTE),0.0,0
1,0.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),0.0,0
1,1072.6797949691645,Parada 2 (Intermedia),2.0,1
1,2166.6310180249457,Parada 3 (Intermedia),36.0,18
1,3304.5858299877045,Parada 4 (SAN VICENTE),0.0,0
2,620.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
2,1832.4485520960386,Parada 2 (Intermedia),34.0,17
2,2760.20005297603,Parada 3 (Intermedia),42.0,21
2,3734.7914399331303,Parada 4 (SAN VICENTE),0.0,0
3,618.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),18.0,9
3,1649.7030449167778,Parada 2 (Intermedia),52.0,26
3,2545.4067246861923,Parada 3 (Intermedia),66.0,33
3,3455.1427618822513,Parada 4 (SAN VICENTE),0.0,0
4,1216.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
4,2111.6947229481757,Parada 2 (Intermedia),26.0,13
4,3014.389655839919,Parada 3 (Intermedia),34.0,17
4,4128.851832703753,Parada 4 (SAN VICENTE),0.0,0
5,1216.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
5,2398.2056962322686,Parada 2 (Intermedia),24.0,12
5,3320.6917747883526,Parada 3 (Intermedia),42.0,21
5,4276.6919940179005,Parada 4 (SAN VICENTE),0.0,0
6,1814.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),14.000000000000002,7
6,3016.8932254526017,Parada 2 (Intermedia),22.0,11
6,3934.5698448386092,Parada 3 (Intermedia),36.0,18
6,4950.292446284978,Parada 4 (SAN VICENTE),0.0,0
7,1814.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),14.000000000000002,7
7,2629.129242860863,Parada 2 (Intermedia),26.0,13
7,3649.598841610698,Parada 3 (Intermedia),42.0,21
7,4567.738593825551,Parada 4 (SAN VICENTE),0.0,0
8,2416.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
8,3609.694339726636,Parada 2 (Intermedia),16.0,8
8,4772.904800145614,Parada 3 (Intermedia),16.0,8
8,5744.24403751762,Parada 4 (SAN VICENTE),0.0,0
9,2414.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),14.000000000000002,7
9,3540.571271281473,Parada 2 (Intermedia),26.0,13
9,4760.065168921957,Parada 3 (Intermedia),60.0,30
9,5977.687263348238,Parada 4 (SAN VICENTE),0.0,0
10,3020.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
10,4044.519925131193,Parada 2 (Intermedia),36.0,18
10,4945.081395611569,Parada 3 (Intermedia),36.0,18
10,6067.077610035975,Parada 4 (SAN VICENTE),0.0,0
11,3018.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),18.0,9
11,4077.0645747104627,Parada 2 (Intermedia),22.0,11
11,4882.723921612888,Parada 3 (Intermedia),22.0,11
11,5910.761359355766,Parada 4 (SAN VICENTE),0.0,0
12,3620.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
12,4798.588239416524,Parada 2 (Intermedia),22.0,11
12,5730.50970484811,Parada 3 (Intermedia),22.0,11
12,6639.188677721698,Parada 4 (SAN VICENTE),0.0,0
13,3620.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
13,4666.839144499941,Parada 2 (Intermedia),30.0,15
13,5667.193139330742,Parada 3 (Intermedia),56.00000000000001,28
13,6776.749471062358,Parada 4 (SAN VICENTE),0.0,0
14,4230.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),30.0,15
14,5434.0125041867195,Parada 2 (Intermedia),38.0,19
14,6260.82034872495,Parada 3 (Intermedia),50.0,25
14,7400.425473137152,Parada 4 (SAN VICENTE),0.0,0
15,4228.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),28.000000000000004,14
15,5217.088401607732,Parada 2 (Intermedia),40.0,20
15,6360.853353596614,Parada 3 (Intermedia),42.0,21
15,7317.339455117369,Parada 4 (SAN VICENTE),0.0,0
16,4818.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),18.0,9
16,5949.426413895189,Parada 2 (Intermedia),24.0,12
16,6879.088113544698,Parada 3 (Intermedia),34.0,17
16,8089.699366283794,Parada 4 (SAN VICENTE),0.0,0
17,4816.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
17,5745.287118144583,Parada 2 (Intermedia),30.0,15
17,6706.304837591332,Parada 3 (Intermedia),38.0,19
17,7916.441849372151,Parada 4 (SAN VICENTE),0.0,0
18,5416.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
18,6542.563561025951,Parada 2 (Intermedia),18.0,9
18,7413.509265915525,Parada 3 (Intermedia),40.0,20
18,8496.641757115081,Parada 4 (SAN VICENTE),0.0,0
19,5416.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
19,6507.475531793814,Parada 2 (Intermedia),42.0,21
19,7506.2093970869355,Parada 3 (Intermedia),48.0,24
19,8511.667713356142,Parada 4 (SAN VICENTE),0.0,0
20,6014.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),14.000000000000002,7
20,7221.177793830745,Parada 2 (Intermedia),30.0,15
20,8402.614800878395,Parada 3 (Intermedia),30.0,15
20,9341.70749589912,Parada 4 (SAN VICENTE),0.0,0
21,6012.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),12.0,6
21,7223.076817450759,Parada 2 (Intermedia),26.0,13
21,8264.137741551112,Parada 3 (Intermedia),72.0,36
21,9309.765162819182,Parada 4 (SAN VICENTE),0.0,0
22,6614.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),14.000000000000002,7
