bus_id,tiempo,parada,ocupacion,pasajeros_a_bordo
0,0.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),0.0,0
0,952.0117273476477,Parada Aeropuerto,42.0,21
0,2190.7574859438696,Parada Final (SAN VICENTE),0.0,0
1,0.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),0.0,0
1,1096.588485665605,Parada Aeropuerto,2.0,1
1,2108.6656806085034,Parada Final (SAN VICENTE),0.0,0
2,620.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
2,1729.0706966974308,Parada Aeropuerto,22.0,11
2,3050.027104438159,Parada Final (SAN VICENTE),0.0,0
3,620.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
3,1668.8720205914008,Parada Aeropuerto,42.0,21
3,2997.081252214267,Parada Final (SAN VICENTE),0.0,0
4,1218.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),18.0,9
4,2057.6850073873534,Parada Aeropuerto,30.0,15
4,3184.3267863239344,Parada Final (SAN VICENTE),0.0,0
5,1216.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
5,2452.7105857096194,Parada Aeropuerto,34.0,17
5,3494.170320618436,Parada Final (SAN VICENTE),0.0,0
6,1816.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
6,2997.306239710405,Parada Aeropuerto,28.000000000000004,14
6,4084.940159180497,Parada Final (SAN VICENTE),0.0,0
7,1814.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),14.000000000000002,7
7,2731.418057866776,Parada Aeropuerto,20.0,10
7,3827.1565838352635,Parada Final (SAN VICENTE),0.0,0
8,2422.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),22.0,11
8,3235.129242860863,Parada Aeropuerto,32.0,16
8,4616.086601231462,Parada Final (SAN VICENTE),0.0,0
9,2420.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
9,3626.8932254526017,Parada Aeropuerto,32.0,16
9,4995.736488430201,Parada Final (SAN VICENTE),0.0,0
10,3014.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),14.000000000000002,7
10,3994.917764141519,Parada Aeropuerto,30.0,15
10,5326.87237637812,Parada Final (SAN VICENTE),0.0,0
11,3012.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),12.0,6
11,4135.954811962759,Parada Aeropuerto,16.0,8
11,5446.456346016066,Parada Final (SAN VICENTE),0.0,0
12,3628.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),28.000000000000004,14
12,4701.118268222866,Parada Aeropuerto,32.0,16
12,5791.619840329541,Parada Final (SAN VICENTE),0.0,0
13,3626.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),26.0,13
13,4701.1763423063185,Parada Aeropuerto,48.0,24
13,5740.083276438786,Parada Final (SAN VICENTE),0.0,0
14,4216.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
14,5341.918308925866,Parada Aeropuerto,34.0,17
14,6639.648774739702,Parada Final (SAN VICENTE),0.0,0
15,4216.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
15,5023.812782695091,Parada Aeropuerto,16.0,8
15,6323.307702342921,Parada Final (SAN VICENTE),0.0,0
16,4820.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
16,5703.673757755316,Parada Aeropuerto,38.0,19
16,7044.014002135118,Parada Final (SAN VICENTE),0.0,0
17,4820.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
17,5896.938914740163,Parada Aeropuerto,26.0,13
17,7225.181781372745,Parada Final (SAN VICENTE),0.0,0
18,5414.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),14.000000000000002,7
18,6347.863395215034,Parada Aeropuerto,36.0,18
18,7648.558555680589,Parada Final (SAN VICENTE),0.0,0
19,5412.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),12.0,6
19,6353.929986470438,Parada Aeropuerto,12.0,6
19,7339.241189579854,Parada Final (SAN VICENTE),0.0,0
20,6034.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),34.0,17
20,7151.131210658693,Parada Aeropuerto,36.0,18
20,8185.51496222168,Parada Final (SAN VICENTE),0.0,0
21,6034.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),34.0,17
21,7114.473217141347,Parada Aeropuerto,50.0,25
21,8280.087258367706,Parada Final (SAN VICENTE),0.0,0
22,6608.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),8.0,4
22,7596.004157984141,Parada Aeropuerto,8.0,4
22,8949.480431215281,Parada Final (SAN VICENTE),0.0,0
23,6608.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),8.0,4
23,7550.423302382628,Parada Aeropuerto,22.0,11
23,8633.533276490416,Parada Final (SAN VICENTE),0.0,0
24,7212.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),12.0,6
24,8148.744624104715,Parada Aeropuerto,32.0,16
24,9449.997849240273,Parada Final (SAN VICENTE),0.0,0
25,7212.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),12.0,6
25,8178.196137174141,Parada Aeropuerto,12.0,6
25,9356.226433303971,Parada Final (SAN VICENTE),0.0,0
26,7818.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),18.0,9
26,8698.203345347916,Parada Aeropuerto,24.0,12
26,9995.53028548713,Parada Final (SAN VICENTE),0.0,0
27,7818.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),18.0,9
27,8992.37163951212,Parada Aeropuerto,24.0,12
27,10106.039535114915,Parada Final (SAN VICENTE),0.0,0
28,8414.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),14.000000000000002,7
28,9340.092301553308,Parada Aeropuerto,22.0,11
28,10489.177828987013,Parada Final (SAN VICENTE),0.0,0
29,8414.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),14.000000000000002,7
29,9481.291926371472,Parada Aeropuerto,18.0,9
29,10584.567193612651,Parada Final (SAN VICENTE),0.0,0
30,9014.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),14.000000000000002,7
30,9904.245878279628,Parada Aeropuerto,14.000000000000002,7
30,10878.820798364985,Parada Final (SAN VICENTE),0.0,0
31,9012.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),12.0,6
31,9854.119744362702,Parada Aeropuerto,24.0,12
31,10878.884391349631,Parada Final (SAN VICENTE),0.0,0
32,9616.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
32,10584.933983398872,Parada Aeropuerto,38.0,19
32,11852.130827186716,Parada Final (SAN VICENTE),0.0,0
33,9616.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
33,10693.298732558824,Parada Aeropuerto,16.0,8
33,12129.081101579164,Parada Final (SAN VICENTE),0.0,0
34,10218.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),18.0,9
34,11214.10754165769,Parada Aeropuerto,18.0,9
34,12389.821947107419,Parada Final (SAN VICENTE),0.0,0
35,10218.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),18.0,9
35,11125.631433962655,Parada Aeropuerto,40.0,20
35,12473.959207070786,Parada Final (SAN VICENTE),0.0,0
36,10822.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),22.0,11
36,11961.520472063723,Parada Aeropuerto,26.0,13
36,13251.183517602467,Parada Final (SAN VICENTE),0.0,0
37,10820.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
37,11804.313737599807,Parada Aeropuerto,44.0,22
37,13175.577807034664,Parada Final (SAN VICENTE),0.0,0
38,11422.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),22.0,11
38,12365.805312459386,Parada Aeropuerto,30.0,15
38,13599.895276497948,Parada Final (SAN VICENTE),0.0,0
39,11420.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
39,12380.306678743733,Parada Aeropuerto,22.0,11
39,13425.348004177871,Parada Final (SAN VICENTE),0.0,0
40,12026.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),26.0,13
40,12970.092695020725,Parada Aeropuerto,46.0,23
40,13966.622716874237,Parada Final (SAN VICENTE),0.0,0
41,12026.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),26.0,13
41,13096.854062771672,Parada Aeropuerto,32.0,16
41,14473.636350427216,Parada Final (SAN VICENTE),0.0,0
42,12616.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
42,13550.70869308151,Parada Aeropuerto,38.0,19
42,14681.194686705378,Parada Final (SAN VICENTE),0.0,0
43,12616.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
43,13626.983915384593,Parada Aeropuerto,16.0,8
43,14855.638650258603,Parada Final (SAN VICENTE),0.0,0
44,13214.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),14.000000000000002,7
44,14248.26548640897,Parada Aeropuerto,20.0,10
44,15343.204576556125,Parada Final (SAN VICENTE),0.0,0
45,13212.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),12.0,6
45,14178.616276909146,Parada Aeropuerto,36.0,18
45,15193.521282747737,Parada Final (SAN VICENTE),0.0,0
46,13816.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
46,14696.726887035975,Parada Aeropuerto,22.0,11
46,16036.92587121583,Parada Final (SAN VICENTE),0.0,0
47,13816.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
47,14762.938770783872,Parada Aeropuerto,16.0,8
47,16128.884560288863,Parada Final (SAN VICENTE),0.0,0
48,14420.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
48,15338.144913111126,Parada Aeropuerto,22.0,11
48,16556.335377470594,Parada Final (SAN VICENTE),0.0,0
49,14420.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),20.0,10
49,15293.002099728015,Parada Aeropuerto,30.0,15
49,16418.041699366542,Parada Final (SAN VICENTE),0.0,0
50,15024.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),24.0,12
50,16070.723378126642,Parada Aeropuerto,34.0,17
50,17371.15044651369,Parada Final (SAN VICENTE),0.0,0
51,15022.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),22.0,11
51,15873.37136275343,Parada Aeropuerto,36.0,18
51,17232.922032376286,Parada Final (SAN VICENTE),0.0,0
52,15618.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),18.0,9
52,16454.216161851156,Parada Aeropuerto,34.0,17
52,17595.53313033844,Parada Final (SAN VICENTE),0.0,0
53,15616.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),16.0,8
53,16502.0577690105,Parada Aeropuerto,16.0,8
53,17603.980839052943,Parada Final (SAN VICENTE),0.0,0
