bus_id,tiempo,parada,pasajero_id
0,912.0117273476477,Parada Aeropuerto,Parada Aeropuerto_0
0,914.0117273476477,Parada Aeropuerto,Parada Aeropuerto_1
0,916.0117273476477,Parada Aeropuerto,Parada Aeropuerto_2
0,918.0117273476477,Parada Aeropuerto,Parada Aeropuerto_3
0,920.0117273476477,Parada Aeropuerto,Parada Aeropuerto_4
0,922.0117273476477,Parada Aeropuerto,Parada Aeropuerto_5
0,924.0117273476477,Parada Aeropuerto,Parada Aeropuerto_6
0,926.0117273476477,Parada Aeropuerto,Parada Aeropuerto_7
0,928.0117273476477,Parada Aeropuerto,Parada Aeropuerto_8
0,930.0117273476477,Parada Aeropuerto,Parada Aeropuerto_9
0,932.0117273476477,Parada Aeropuerto,Parada Aeropuerto_10
0,934.0117273476477,Parada Aeropuerto,Parada Aeropuerto_11
0,936.0117273476477,Parada Aeropuerto,Parada Aeropuerto_12
0,938.0117273476477,Parada Aeropuerto,Parada Aeropuerto_13
0,940.0117273476477,Parada Aeropuerto,Parada Aeropuerto_14
0,942.0117273476477,Parada Aeropuerto,Parada Aeropuerto_15
0,944.0117273476477,Parada Aeropuerto,Parada Aeropuerto_16
0,946.0117273476477,Parada Aeropuerto,Parada Aeropuerto_17
0,948.0117273476477,Parada Aeropuerto,Parada Aeropuerto_18
0,950.0117273476477,Parada Aeropuerto,Parada Aeropuerto_19
0,952.0117273476477,Parada Aeropuerto,Parada Aeropuerto_20
1,1096.588485665605,Parada Aeropuerto,Parada Aeropuerto_21
2,602.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_0
2,604.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_2
2,606.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_4
2,608.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_6
2,610.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_8
2,612.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_10
2,614.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_12
2,616.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_14
2,618.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_16
2,620.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_18
2,1729.0706966974308,Parada Aeropuerto,Parada Aeropuerto_33
3,602.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_1
3,604.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_3
3,606.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_5
3,608.0,Parada 1 (HUALQUI (SANTA JOSEFINA)),Parada 1 (HUALQUI (SANTA JOSEFINA))_7
